TOWN,TOWN_ID,COUNTY,town_join,treatment_facility_count,peer_recovery_count,ssp_count,harm_reduction_count,has_treatment,has_peer_recovery,has_ssp,has_harm_reduction,service_diversity_score,avg_deaths_2021_2023,avg_ems_incidents_2022_2023,overdose_death_rank,ems_incident_rank,combined_burden_rank_score,overdose_death_burden_pct,ems_burden_pct,combined_burden_pct,access_coverage_pct,recovery_access_gap_score,gap_category,estimated_population,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,EP_NOVEH,EPL_NOVEH,EP_POV150,EPL_POV150,EP_UNEMP,EPL_UNEMP,EP_NOHSDP,EPL_NOHSDP,social_vulnerability_pct,final_priority_score,priority_category,nearest_any_service_distance_miles,services_within_5_miles,services_within_10_miles,service_types_within_5_miles,service_types_within_10_miles,nearest_treatment_distance_miles,nearest_peer_recovery_distance_miles,nearest_ssp_distance_miles,nearest_harm_reduction_distance_miles,nearby_access_coverage_pct,distance_adjusted_priority_score,nearest_service_access_category,anchor_priority_score,anchor_priority_level,access_gap_level,anchor_priority_rank
WINCHENDON,343,WORCESTER,WINCHENDON,0,0,0,0,0,0,0,0,0,3.333333333333333,28.5,120.0,92.0,212.0,0.6367521367521367,0.7364672364672364,0.6866096866096866,0.0,0.6866096866096866,High gap,10372.030182983844,0.5695935163784672,0.6746932594156182,0.3797039653617213,0.31087477366971,0.545473429714854,5.071596661166016,0.3331147162805819,19.707086736328005,0.6801812034004818,7.509719619913295,0.7436160192926694,6.812066686694978,0.5353603436731008,0.5695935163784672,1.0776981123852154,High priority,5.114604027122236,0,2,0,2,5.114604027122236,7.073427980244475,29.6444001389352,12.96151829551892,0.5,0.8891009427178027,Moderate distance,0.8891009427178027,Very high priority,High gap,5
SALEM,258,ESSEX,SALEM,2,0,0,0,1,0,0,0,1,18.33333333333333,115.0,23.0,26.0,49.0,0.9373219373219374,0.9287749287749288,0.933048433048433,0.25,0.6997863247863247,High gap,44757.5071882644,0.5948313126110226,0.591929979333943,0.5341138563535428,0.5531752721750298,0.562059025701491,14.92071532996689,0.6446514418524664,19.08681611732433,0.6586512385772679,4.941219774147788,0.4801140061080243,7.708288209244534,0.4808734698624241,0.5948313126110226,1.1160411429062176,High priority,0.3084679508241901,4,4,4,4,0.3084679508241901,4.102928900251058,4.102928900251058,3.2797417685844743,1.0,0.7254267428890414,Very near,0.7254267428890414,Very high priority,High gap,24
AUBURN,17,WORCESTER,AUBURN,0,0,0,0,0,0,0,0,0,4.666666666666667,41.5,96.0,69.0,165.0,0.7193732193732194,0.8062678062678063,0.7628205128205128,0.0,0.7628205128205128,Very high gap,16848.675528824177,0.4257347942227681,0.3645716716454278,0.6237375429477124,0.1578479320029216,0.4529963053414755,5.698393582988221,0.3569066426876042,8.554495111357934,0.2874360420156888,4.3889293241669485,0.4480734987278057,6.689520145769475,0.5035336404197632,0.4257347942227681,1.0875797468750603,High priority,3.1671271922186714,2,4,2,4,3.1671271922186714,5.055008986374581,5.055008986374581,3.318047326777138,1.0,0.7069268354687892,Near,0.7069268354687892,Very high priority,Very high gap,30
ROCKLAND,251,PLYMOUTH,ROCKLAND,0,0,0,0,0,0,0,0,0,5.666666666666667,45.0,79.0,66.0,145.0,0.7720797720797721,0.8133903133903134,0.7927350427350428,0.0,0.7927350427350428,Very high gap,17718.10940876904,0.369897031201704,0.3883465966967792,0.4403350406500044,0.2682896215360438,0.4235440661225934,4.807576256831797,0.3360271396231515,12.443023116307751,0.4963410333314783,4.272074318444405,0.4414181949729289,5.399191963228913,0.4308561010530409,0.369897031201704,1.0859653815722912,High priority,2.440179876813267,2,4,2,4,3.744318848328168,7.521660171721688,7.521660171721688,2.440179876813267,1.0,0.7058774980219893,Near,0.7058774980219893,Very high priority,Very high gap,31
SPENCER,280,WORCESTER,SPENCER,0,0,0,0,0,0,0,0,0,4.0,29.0,110.0,88.0,198.0,0.688034188034188,0.7478632478632479,0.717948717948718,0.0,0.717948717948718,High gap,11955.188430279864,0.5125233773419948,0.581071439754106,0.5374820037233039,0.1681855072117835,0.419575474644797,6.975304508480441,0.3761882335467178,9.87964922925688,0.3518687141078792,6.261598097119429,0.6458000137047989,7.910413545798175,0.5712233149146613,0.5125233773419948,1.08591421963015,High priority,3.8127325827296814,1,4,1,4,5.4518960403725645,9.879557669708388,9.879557669708388,3.8127325827296814,1.0,0.7058442427595975,Near,0.7058442427595975,Very high priority,High gap,32
ATTLEBORO,16,BRISTOL,ATTLEBORO,2,0,0,0,1,0,0,0,1,20.0,98.5,22.0,37.0,59.0,0.9401709401709402,0.896011396011396,0.918091168091168,0.25,0.6885683760683761,High gap,46382.54959110664,0.5625980874738978,0.5561997368957722,0.5163186933203814,0.348136201432089,0.5991650402007965,7.990110048226818,0.4606286169355756,15.957608701281696,0.5316357867686895,4.377679875242459,0.4466618903572736,10.044099041827057,0.6423463355405006,0.5625980874738978,1.0759556275394522,High priority,0.3261617500802645,2,2,1,2,0.3261617500802645,10.074978503560398,10.074978503560398,6.117944680026346,0.5,0.887663392720048,Very near,0.887663392720048,Very high priority,High gap,6
CLINTON,64,WORCESTER,CLINTON,0,0,0,0,0,0,0,0,0,3.6666666666666665,19.0,112.0,132.0,244.0,0.6737891737891738,0.6239316239316239,0.6488603988603989,0.0,0.6488603988603989,High gap,15346.556995324934,0.5010991188286905,0.5338276769422243,0.3829596100459001,0.4423053413866478,0.4976366038557087,4.385953183996148,0.2859553886100396,13.909534194137636,0.5260705740926812,4.152855096114119,0.3941933186892891,7.495585313707568,0.5558722811912966,0.5010991188286905,0.9740037729721774,High priority,6.82258423570809,0,3,0,3,8.33503811629246,8.550404252401448,11.792554718299204,6.82258423570809,0.75,0.7183277825669809,Moderate distance,0.7183277825669809,Very high priority,High gap,27
PLAINVILLE,238,NORFOLK,PLAINVILLE,0,0,0,0,0,0,0,0,0,3.333333333333333,18.5,120.0,135.0,255.0,0.6367521367521367,0.6096866096866097,0.6232193732193732,0.0,0.6232193732193732,High gap,9812.8471171709,0.5565095104926574,0.5878257044915179,0.63549920835831,0.4025881718962236,0.4755362958696779,4.8264090837577625,0.3479115662994649,12.230622020245749,0.4490225546126849,7.826235464009295,0.7851867519607323,4.196990652236149,0.3476434457586702,0.5565095104926574,0.9700468815392272,High priority,5.9025158289425255,0,3,0,3,6.112351020567859,9.931648659037505,14.204136697169284,5.9025158289425255,0.75,0.7154095751351801,Moderate distance,0.7154095751351801,Very high priority,High gap,29
ATHOL,15,WORCESTER,ATHOL,1,0,0,0,1,0,0,0,1,8.333333333333334,54.5,54.0,58.0,112.0,0.8404558404558404,0.8361823361823362,0.8383190883190883,0.25,0.6287393162393162,High gap,11920.722075191015,0.6893026834914661,0.7651645248488126,0.6833421830659755,0.2095039865050349,0.6180388666064784,12.104366806062602,0.6311969590982639,18.788448689235857,0.6847576076758961,7.680899798876911,0.7390408830302698,10.29049712456901,0.6762220231692313,0.6893026834914661,1.0621310141396665,High priority,0.933813167159384,2,2,2,2,0.933813167159384,11.646596783462162,20.73457612375422,4.296102480600835,0.5,0.8762580866652248,Very near,0.8762580866652248,Very high priority,High gap,8
YARMOUTH,351,BARNSTABLE,YARMOUTH,0,0,0,0,0,0,0,0,0,9.666666666666666,75.0,46.0,48.0,94.0,0.8717948717948718,0.8660968660968661,0.8689458689458689,0.0,0.8689458689458689,Very high gap,25016.941032756666,0.4856128678837882,0.5433791631378663,0.6532523611487825,0.316163580812999,0.3113391813262021,4.737514780361478,0.3363245206358123,11.478819447007734,0.4376524017821866,5.753264260512785,0.5717779099034617,4.544995136639267,0.3745829115297458,0.4856128678837882,1.290917164400443,Very high priority,3.9636942326074553,7,7,3,3,3.9636942326074553,3.9636942326074553,18.62962094803297,3.9636942326074553,0.75,0.9520514087453267,Near,0.9520514087453267,Very high priority,Very high gap,3
